"","Economy","IT","Life_Cult","Politics","Society","World"
"Economy",765,216,183,11,24,407
"IT",93,1423,557,0,6,342
"Life_Cult",243,353,956,9,54,663
"Politics",160,10,59,1694,586,87
"Society",795,154,338,441,1493,449
"World",132,32,95,33,25,240
